Date,Open,High,Low,Close,Volume
2024-08-28 00:00:00-04:00,2544.800048828125,2552.89990234375,2537.89990234375,2550.89990234375,22977
2024-08-28 04:00:00-04:00,2536.0,2546.0,2535.199951171875,2544.800048828125,23022
2024-08-28 08:00:00-04:00,2540.800048828125,2545.5,2527.800048828125,2536.199951171875,59820
2024-08-28 12:00:00-04:00,2542.0,2544.0,2530.800048828125,2540.800048828125,26484
2024-08-28 16:00:00-04:00,2541.300048828125,2543.10009765625,2537.300048828125,2542.10009765625,3977
2024-08-28 20:00:00-04:00,2549.89990234375,2549.89990234375,2541.199951171875,2541.300048828125,10428
2024-08-29 00:00:00-04:00,2552.199951171875,2554.5,2546.89990234375,2549.699951171875,18405
2024-08-29 04:00:00-04:00,2553.300048828125,2557.800048828125,2548.199951171875,2552.300048828125,24981
2024-08-29 08:00:00-04:00,2556.10009765625,2559.10009765625,2536.5,2553.199951171875,65190
2024-08-29 12:00:00-04:00,2554.39990234375,2562.199951171875,2550.60009765625,2556.10009765625,29900
2024-08-29 16:00:00-04:00,2552.60009765625,2555.60009765625,2551.89990234375,2554.5,2906
2024-08-29 20:00:00-04:00,2547.10009765625,2553.60009765625,2545.800048828125,2552.60009765625,13687
2024-08-30 00:00:00-04:00,2552.5,2557.60009765625,2545.699951171875,2546.89990234375,24016
2024-08-30 04:00:00-04:00,2552.699951171875,2560.10009765625,2548.10009765625,2552.5,23613
2024-08-30 08:00:00-04:00,2535.300048828125,2558.10009765625,2533.0,2552.60009765625,63009
2024-08-30 12:00:00-04:00,2534.699951171875,2538.800048828125,2526.60009765625,2535.199951171875,38767
2024-08-30 16:00:00-04:00,2535.89990234375,2536.10009765625,2534.39990234375,2534.800048828125,2276
2024-09-01 16:00:00-04:00,2535.10009765625,2536.800048828125,2531.60009765625,2536.0,3349
2024-09-01 20:00:00-04:00,2528.39990234375,2537.199951171875,2522.10009765625,2535.10009765625,13782
2024-09-03 00:00:00-04:00,2532.89990234375,2534.0,2524.39990234375,2526.39990234375,18699
2024-09-03 04:00:00-04:00,2521.5,2538.5,2516.300048828125,2533.0,40452
2024-09-03 08:00:00-04:00,2520.0,2534.199951171875,2504.39990234375,2521.199951171875,99747
2024-09-03 12:00:00-04:00,2523.60009765625,2525.89990234375,2515.300048828125,2520.10009765625,19474
2024-09-03 16:00:00-04:00,2524.699951171875,2526.199951171875,2522.89990234375,2523.5,2521
2024-09-03 20:00:00-04:00,2526.60009765625,2528.39990234375,2522.39990234375,2524.699951171875,9728
2024-09-04 00:00:00-04:00,2513.199951171875,2528.0,2512.800048828125,2526.39990234375,17141
2024-09-04 04:00:00-04:00,2520.199951171875,2522.300048828125,2502.699951171875,2513.10009765625,37793
2024-09-04 08:00:00-04:00,2525.199951171875,2531.5,2512.800048828125,2520.199951171875,69864
2024-09-04 12:00:00-04:00,2524.300048828125,2529.300048828125,2522.5,2525.10009765625,20934
